iter	RMSE
224	47210.56404
225	47146.41365
226	47117.75553
227	47083.52286
228	47050.32148
229	47023.07627
230	46987.03625
231	46937.16731
232	46890.07175
233	46866.53089
234	46835.47637
235	46799.79458
236	46777.52637
237	46720.48917
238	46697.35249
239	46660.30603
240	46638.98468
241	46598.68075
242	46576.8535
243	46548.98963
244	46507.28279
245	46464.76389
246	46442.87836
247	46403.08291
248	46379.1898
249	46350.45859
250	46308.42809
251	46280.19804
252	46257.13699
253	46230.91624
254	46195.40375
255	46165.74731
256	46127.84861
257	46087.651
258	46051.48115
259	46029.15476
260	45990.33386
261	45966.7534
262	45931.63964
263	45895.20555
264	45857.43342
265	45833.28238
266	45802.05416
267	45769.97591
268	45735.78603
269	45710.09684
270	45668.95455
271	45638.61551
272	45613.91638
273	45574.49314
274	45535.65701
275	45489.4726
276	45472.1525
277	45450.6151
278	45420.00012
279	45402.5363
280	45382.82573
281	45361.37121
282	45330.16324
283	45304.28108
284	45267.41956
285	45228.03954
286	45164.10664
287	45146.99795
288	45128.29812
289	45103.50039
290	45068.79883
291	45042.72505
292	45013.39806
293	44987.37658
294	44956.22194
295	44936.27294
296	44897.53795
297	44866.77369
298	44842.19137
299	44811.71745
300	44789.58
301	44762.48149
302	44741.60311
303	44708.38446
304	44677.16161
305	44644.03821
306	44628.13743
307	44591.4127
308	44561.07734
309	44540.31887
310	44508.78165
311	44490.84661
312	44463.72783
313	44439.00233
314	44408.28209
315	44383.43446
316	44367.44815
317	44349.83107
318	44320.4313
319	44280.54193
320	44260.75221
321	44234.93193
322	44215.96359
323	44197.81815
324	44173.44635
325	44153.76709
326	44137.60984
327	44110.47793
328	44073.30227
329	44056.42002
330	44034.48331
331	44012.25685
332	43992.95443
333	43961.55721
334	43941.29503
335	43921.24757
336	43892.86262
337	43870.93838
338	43840.18795
339	43820.91451
340	43788.59285
341	43775.2469
342	43757.66081
343	43724.00276
344	43694.87669
345	43682.15217
346	43652.27522
347	43621.00434
348	43592.66418
349	43553.94788
350	43530.1479
351	43515.16483
352	43485.28547
353	43461.99382
354	43446.1454
355	43419.45714
356	43390.9695
357	43373.68599
358	43349.49304
359	43329.4086
360	43313.16328
361	43282.43414
362	43253.98205
363	43236.6834
364	43212.23996
365	43185.51552
366	43160.99358
367	43146.39453
368	43131.56398
369	43113.99146
370	43071.4408
371	43051.36718
372	43031.07116
373	43009.29303
374	42987.65934
375	42959.82664
376	42934.48809
377	42913.37624
378	42909.11589
379	42874.91669
380	42859.64208
381	42832.06595
382	42816.30597
383	42808.66151
384	42782.29107
385	42757.8524
386	42734.90341
387	42707.63134
388	42693.2402
389	42677.44779
390	42647.51048
391	42615.03151
392	42605.93237
393	42578.44743
394	42558.01657
395	42543.60956
396	42526.44732
397	42502.74668
398	42478.16726
399	42454.1367
400	42442.48153
401	42420.10104
402	42402.25301
403	42383.02069
404	42363.46664
405	42336.0204
406	42321.72667
407	42300.2123
408	42287.71743
409	42279.84776
410	42250.50035
411	42239.26098
412	42216.83669
413	42208.07805
414	42186.37567
415	42148.15607
416	42135.93619
417	42118.26861
418	42095.05902
419	42076.39495
420	42053.83468
421	42037.12886
422	42018.09326
423	42005.64503
424	41982.98879
425	41964.89233
426	41946.63595
427	41928.97963
428	41905.43432
429	41896.43609
430	41879.72348
431	41867.90354
432	41860.26088
433	41846.88631
434	41835.23103
435	41824.62351
436	41806.03987
437	41782.9524
438	41769.10724
439	41749.08055
440	41735.19364
441	41705.15615
442	41687.87121
443	41670.72719
444	41657.07899
445	41643.64408
446	41615.12493
447	41600.84991
448	41584.98008
449	41559.02993
450	41544.36272
451	41534.32179
452	41513.30601
453	41490.02044
454	41467.57434
455	41448.75275
456	41437.0046
457	41416.91415
458	41397.85123
459	41381.71526
460	41366.8148
461	41349.1063
462	41338.03842
463	41321.29173
464	41307.42545
465	41297.89278
466	41277.37219
467	41265.38297
468	41247.11852
469	41227.92548
470	41213.6433
471	41199.62232
472	41182.20372
473	41168.9868
474	41159.23955
475	41148.3929
476	41141.20143
477	41125.46921
478	41110.50155
479	41102.41603
480	41088.94024
481	41073.85344
482	41062.28411
483	41049.01558
484	41030.19402
485	41016.5346
486	40996.8352
487	40983.53409
488	40964.47386
489	40945.66197
490	40928.00732
491	40914.90284
492	40896.90789
493	40883.15022
494	40866.35736
495	40855.38226
496	40835.61142
497	40818.12273
498	40804.1097
499	40794.41161
500	40778.47559
501	40759.08031
502	40745.5003
503	40723.23218
504	40703.15109
505	40690.96076
506	40672.68738
507	40665.30395
508	40647.82643
509	40634.00526
510	40617.38712
511	40600.97733
512	40588.86859
513	40569.72039
514	40548.4654
515	40528.51148
516	40508.97308
517	40494.59833
518	40477.32594
519	40468.46953
520	40454.29557
521	40445.05191
522	40434.09111
523	40424.70532
524	40405.4047
525	40385.20138
526	40369.7937
527	40356.14304
528	40342.37984
529	40331.43811
530	40306.79239
531	40295.13629
532	40276.7885
533	40261.82257
534	40253.49847
535	40240.86767
536	40228.32354
537	40214.08857
538	40202.35748
539	40183.00178
540	40173.50201
541	40158.34013
542	40141.37238
543	40129.3667
544	40118.23456
545	40103.95541
546	40092.9288
547	40081.4904
548	40072.58405
549	40056.39118
550	40041.78289
551	40030.17859
552	40010.68447
553	39991.95906
554	39977.77737
555	39965.22762
556	39958.42857
557	39951.72446
558	39936.13944
559	39920.14007
560	39907.77154
561	39894.32333
562	39880.82397
563	39873.78676
564	39867.11946
565	39856.54733
566	39843.95221
567	39834.57945
568	39811.51689
569	39798.98567
570	39785.23049
571	39777.10174
572	39764.0052
573	39747.40549
574	39734.96629
575	39718.35672
576	39695.45697
577	39689.4874
578	39680.99151
579	39673.05083
580	39660.43402
581	39647.51861
582	39637.1298
583	39625.46308
584	39609.03525
585	39593.91405
586	39581.39912
587	39569.0822
588	39559.01592
589	39544.38347
590	39534.22903
591	39517.09523
592	39495.58802
593	39480.155
594	39465.08593
595	39447.91552
596	39440.12777
597	39423.54841
598	39408.34216
599	39398.82463
600	39389.19562
601	39376.19803
602	39369.74191
603	39357.47152
604	39346.57151
605	39335.65056
606	39325.48077
607	39317.171
608	39308.02926
609	39290.67937
610	39276.59991
611	39257.78259
612	39244.91296
613	39238.15234
614	39226.27014
615	39207.91045
616	39195.99672
617	39183.41905
618	39168.74317
619	39152.69339
620	39148.32352
621	39133.77505
622	39124.56208
623	39118.0754
624	39110.26105
625	39096.7874
626	39092.60069
627	39075.88212
628	39065.11053
629	39050.74523
630	39041.97935
631	39026.0367
632	39011.42551
633	38994.92505
634	38982.67585
635	38972.45302
636	38959.43005
637	38945.83231
638	38932.85016
639	38923.78058
640	38915.9208
641	38899.98649
642	38887.77227
643	38870.1272
644	38856.31766
645	38837.69698
646	38819.76356
647	38809.49531
648	38801.87071
649	38783.5034
650	38772.0461
651	38765.39701
652	38745.84606
653	38728.19297
654	38707.28681
655	38701.91727
656	38688.81258
657	38676.08352
658	38664.48364
659	38650.98784
660	38636.18469
661	38626.01107
662	38622.89838
663	38612.18743
664	38601.88867
665	38592.69254
666	38575.85252
667	38565.74663
668	38548.69149
669	38534.05542
670	38527.98117
671	38519.22019
672	38502.02223
673	38482.99014
674	38469.63813
675	38462.07504
676	38454.35504
677	38435.20751
678	38426.22646
679	38416.84724
680	38405.94048
681	38382.18204
682	38363.15155
683	38354.28928
684	38331.17438
685	38323.36503
686	38312.19156
687	38304.99515
688	38301.10552
689	38296.45837
690	38286.12062
691	38275.65558
692	38268.38775
693	38259.80792
694	38253.20851
695	38236.97031
696	38226.01897
697	38217.82261
698	38206.17028
699	38192.8466
700	38179.65323
701	38165.0767
702	38156.43044
703	38141.10166
704	38128.01221
705	38112.33871
706	38097.91922
707	38087.71257
708	38079.1749
709	38063.77618
710	38055.48651
711	38042.2109
712	38029.72597
713	38011.18451
714	38005.54186
715	37989.83792
716	37981.2527
717	37970.05009
718	37955.58553
719	37950.0286
720	37937.99189
721	37927.20894
722	37914.93729
723	37899.21825
724	37890.36556
725	37882.34329
726	37873.54377
727	37857.71944
728	37845.75552
729	37840.00428
730	37826.97229
731	37814.31636
732	37808.75766
733	37791.41118
734	37786.44275
735	37774.97058
736	37766.00528
737	37751.59778
738	37740.80894
739	37736.2809
740	37725.83946
741	37715.32192
742	37707.48114
743	37697.24156
744	37685.53778
745	37674.76213
746	37660.48152
747	37651.27989
748	37632.66339
749	37619.16681
750	37603.00718
751	37588.05803
752	37577.39006
753	37569.53971
754	37561.38887
755	37548.70236
756	37532.51807
757	37518.83154
758	37508.06501
759	37496.8588
760	37482.61341
761	37468.65514
762	37462.41795
763	37456.07334
764	37446.48953
765	37440.70791
766	37432.06558
767	37415.52504
768	37405.60191
769	37400.40018
770	37387.14489
771	37376.48684
772	37368.67702
773	37357.01449
774	37343.98501
775	37338.91103
776	37332.47
777	37321.88018
778	37315.82674
779	37305.26735
780	37298.81426
781	37290.59987
782	37283.02346
783	37277.60361
784	37271.68395
785	37259.90852
786	37250.89527
787	37241.03895
788	37233.53825
789	37221.46107
790	37209.33784
791	37190.79699
792	37179.26129
793	37168.36111
794	37161.41052
795	37158.03518
796	37141.72584
797	37130.01259
798	37116.74111
799	37105.01013
800	37098.5904
801	37091.75807
802	37083.47019
803	37075.11522
804	37065.77361
805	37044.05506
806	37034.86856
807	37022.86956
808	37008.11335
809	36995.48711
810	36982.82021
811	36964.72142
812	36950.54938
813	36937.02664
814	36921.32261
815	36910.33957
816	36904.52635
817	36890.88729
818	36874.85898
819	36860.64236
820	36849.19009
821	36838.39384
822	36833.27138
823	36825.3117
824	36810.76396
825	36798.85291
826	36785.39084
827	36777.06909
828	36771.24372
829	36765.18464
830	36753.88714
831	36743.14798
832	36726.46331
833	36715.4453
834	36707.46589
835	36690.77553
836	36683.03708
837	36673.43978
838	36669.76506
839	36660.31235
840	36652.86387
841	36642.42617
842	36629.05356
843	36614.66119
844	36596.00365
845	36590.88605
846	36581.35847
847	36569.35433
848	36561.19054
849	36554.64785
850	36540.37728
851	36529.3169
852	36516.98101
853	36504.15323
854	36491.97799
855	36486.45001
856	36480.28293
857	36472.65598
858	36469.20289
859	36456.21974
860	36444.75874
861	36427.43477
862	36412.64898
863	36403.403
864	36395.61144
865	36381.61271
866	36372.34735
867	36359.64233
868	36347.61821
869	36340.06172
870	36326.5803
871	36319.1593
872	36307.65753
873	36300.74042
874	36292.95743
875	36283.8842
876	36278.36698
877	36272.85679
878	36264.66968
879	36251.61619
880	36240.68201
881	36230.48946
882	36223.68344
883	36218.78703
884	36213.15504
885	36200.75285
886	36190.54161
887	36187.27845
888	36182.75489
889	36178.75645
890	36168.92236
891	36160.8396
892	36152.21488
893	36142.517
894	36128.8914
895	36124.3204
896	36113.89739
897	36098.64824
898	36087.16325
899	36075.08566
900	36070.08083
901	36066.97298
902	36055.30239
903	36044.83171
904	36041.19329
905	36027.45189
906	36016.91463
907	36009.60513
908	36000.60671
909	35988.04955
910	35976.74618
911	35965.84233
912	35959.07271
913	35956.04436
914	35942.99126
915	35932.43897
916	35921.21566
917	35908.50826
918	35898.03535
919	35888.93973
920	35882.46981
921	35870.46762
922	35861.61107
923	35854.5247
924	35846.30842
925	35838.53085
926	35826.40574
927	35820.57549
928	35808.74896
929	35803.6735
930	35793.09624
931	35786.73279
932	35766.87365
933	35754.12859
934	35744.06987
935	35737.67455
936	35728.06343
937	35721.39434
938	35711.31653
939	35702.15627
940	35695.38721
941	35678.30196
942	35662.96423
943	35656.51047
944	35649.764
945	35638.25461
946	35630.37116
947	35620.15501
948	35606.80485
949	35594.80692
950	35580.62174
951	35572.21755
952	35567.54175
953	35561.59806
954	35552.4744
955	35542.78306
956	35534.88119
957	35529.4008
958	35519.98034
959	35507.47408
960	35500.17873
961	35488.12809
962	35475.38204
963	35461.32857
964	35447.71303
965	35434.88075
966	35426.63171
967	35414.55133
968	35402.68462
969	35394.09574
970	35382.01383
971	35373.69181
972	35368.07101
973	35356.15133
974	35347.72748
975	35339.42031
976	35335.56329
977	35325.12503
978	35320.06715
979	35312.84422
980	35307.32303
981	35297.22247
982	35290.54565
983	35280.92069
984	35275.75004
985	35267.64598
986	35263.35492
987	35257.66662
988	35245.55533
989	35232.28307
990	35225.26243
991	35215.62044
992	35209.63301
993	35198.4827
994	35191.00134
995	35184.02012
996	35172.70599
997	35161.89407
998	35156.72738
999	35150.99561
