iter	Passed	Remaining
407	4734	6870
408	4754	6869
409	4763	6855
410	4772	6840
411	4781	6824
412	4791	6809
413	4804	6800
414	4813	6785
415	4821	6769
416	4831	6755
417	4844	6745
418	4852	6728
419	4860	6712
420	4871	6699
421	4875	6677
422	4893	6675
423	4903	6661
424	4918	6655
425	4927	6639
426	4939	6628
427	4952	6618
428	4966	6609
429	4975	6595
430	4981	6575
431	4994	6567
432	5002	6550
433	5012	6536
434	5024	6526
435	5033	6510
436	5042	6496
437	5048	6477
438	5057	6463
439	5064	6445
440	5076	6434
441	5094	6431
442	5100	6412
443	5109	6398
444	5119	6385
445	5138	6382
446	5146	6366
447	5163	6362
448	5176	6352
449	5189	6342
450	5207	6339
451	5212	6319
452	5222	6306
453	5230	6290
454	5235	6271
455	5249	6262
456	5260	6249
457	5267	6233
458	5278	6221
459	5288	6208
460	5296	6192
461	5310	6184
462	5321	6172
463	5332	6160
464	5343	6148
465	5359	6141
466	5370	6129
467	5378	6113
468	5391	6104
469	5400	6089
470	5407	6073
471	5420	6063
472	5432	6052
473	5440	6036
474	5453	6027
475	5473	6025
476	5491	6020
477	5506	6012
478	5521	6005
479	5524	5985
480	5552	5990
481	5559	5974
482	5573	5966
483	5582	5951
484	5596	5942
485	5609	5932
486	5619	5919
487	5624	5901
488	5631	5885
489	5644	5874
490	5659	5867
491	5669	5854
492	5677	5838
493	5686	5824
494	5692	5807
495	5702	5794
496	5720	5789
497	5732	5778
498	5746	5769
499	5749	5749
500	5758	5735
501	5763	5717
502	5771	5702
503	5780	5689
504	5798	5683
505	5805	5668
506	5813	5653
507	5820	5636
508	5832	5625
509	5844	5614
510	5852	5600
511	5865	5590
512	5874	5576
513	5884	5564
514	5892	5549
515	5905	5539
516	5915	5526
517	5928	5516
518	5935	5500
519	5948	5490
520	5961	5481
521	5967	5464
522	5974	5449
523	5987	5439
524	5996	5425
525	6003	5410
526	6014	5397
527	6029	5390
528	6042	5379
529	6049	5364
530	6069	5360
531	6082	5350
532	6089	5335
533	6099	5322
534	6109	5310
535	6114	5293
536	6120	5277
537	6138	5271
538	6159	5268
539	6171	5257
540	6184	5247
541	6195	5235
542	6212	5228
543	6221	5215
544	6235	5205
545	6245	5192
546	6252	5178
547	6257	5161
548	6272	5152
549	6277	5135
550	6280	5117
551	6292	5106
552	6302	5094
553	6318	5086
554	6323	5069
555	6334	5058
556	6348	5049
557	6356	5035
558	6368	5023
559	6375	5008
560	6387	4998
561	6395	4984
562	6401	4968
563	6411	4956
564	6417	4940
565	6429	4929
566	6447	4923
567	6457	4911
568	6466	4898
569	6475	4885
570	6485	4872
571	6499	4863
572	6515	4855
573	6522	4840
574	6529	4826
575	6548	4820
576	6557	4807
577	6562	4791
578	6575	4781
579	6587	4770
580	6598	4758
581	6607	4745
582	6616	4732
583	6629	4722
584	6644	4713
585	6657	4703
586	6670	4693
587	6681	4681
588	6691	4669
589	6700	4656
590	6708	4642
591	6715	4628
592	6727	4617
593	6739	4606
594	6749	4594
595	6770	4589
596	6776	4574
597	6790	4564
598	6800	4552
599	6807	4538
600	6824	4530
601	6838	4521
602	6846	4507
603	6866	4501
604	6872	4487
605	6885	4476
606	6892	4462
607	6903	4451
608	6907	4435
609	6936	4434
610	6957	4429
611	6968	4418
612	6977	4405
613	6985	4391
614	6991	4376
615	7008	4369
616	7019	4357
617	7033	4347
618	7051	4340
619	7064	4330
620	7071	4315
621	7078	4301
622	7090	4290
623	7106	4282
624	7121	4272
625	7127	4258
626	7153	4255
627	7164	4243
628	7175	4232
629	7197	4227
630	7204	4212
631	7213	4200
632	7222	4187
633	7235	4176
634	7246	4165
635	7254	4151
636	7262	4138
637	7272	4126
638	7281	4113
639	7292	4101
640	7303	4090
641	7311	4076
642	7318	4063
643	7326	4049
644	7333	4036
645	7344	4024
646	7354	4012
647	7366	4001
648	7373	3987
649	7388	3978
650	7399	3966
651	7412	3956
652	7418	3942
653	7432	3932
654	7437	3917
655	7451	3907
656	7461	3895
657	7468	3881
658	7473	3867
659	7485	3856
660	7499	3845
661	7507	3832
662	7515	3820
663	7521	3805
664	7533	3794
665	7540	3781
666	7560	3774
667	7568	3761
668	7590	3755
669	7600	3743
670	7618	3735
671	7629	3724
672	7635	3710
673	7644	3697
674	7652	3684
